,label,cluster,id,c0.4,c0.3,c0.25,c0.1,c0.05,cluster.ordered,count,pgkb,drugbank,drug,gene
1340,"(flavopiridol,nf-kappab)",1,1,1,1,1,1,1,13,10,0,0,flavopiridol,nf-kappab
3321,"(tnf-r2,tnf-r1)",2,2,2,2,2,2,2,7,50,0,0,tnf-r2,tnf-r1
1814,"(il-2,il-5)",2,3,2,2,2,2,3,7,317,0,0,il-2,il-5
1744,"(il-11,il-10)",2,4,2,2,2,3,4,7,20,0,0,il-11,il-10
1296,"(fgf-7,fgf-2)",2,5,2,2,2,3,4,7,10,0,0,fgf-7,fgf-2
630,"(clopidogrel,p-selectin)",3,6,3,3,3,4,5,20,20,0,0,clopidogrel,p-selectin
1294,"(fgf-7,fgf-1)",2,7,2,2,2,3,6,7,14,0,0,fgf-7,fgf-1
1745,"(il-11,il-13)",2,8,2,2,2,3,6,7,7,0,0,il-11,il-13
2758,"(propranolol,beta2)",4,9,4,4,4,5,7,8,13,0,0,propranolol,beta2
1940,"(isoflurane,caspase-3)",5,10,5,5,5,6,8,14,21,0,0,isoflurane,caspase-3
1915,"(indomethacin,phospholipase)",4,11,6,6,6,7,9,8,67,0,0,indomethacin,phospholipase
144,"(anti-il-2,cd25)",6,12,7,7,7,8,10,12,10,0,0,anti-il-2,cd25
3513,"(zuclopenthixol,cyp2d6)",7,13,8,8,8,9,11,3,6,1,0,zuclopenthixol,cyp2d6
1095,"(doxycycline,smad7)",8,14,9,9,9,10,12,17,10,0,0,doxycycline,smad7
1803,"(il-2,il-1)",2,15,2,2,2,2,3,7,890,0,0,il-2,il-1
676,"(corticosteroids,leukotriene)",4,16,4,4,4,11,13,8,87,0,0,corticosteroids,leukotriene
1567,"(gliclazide,niddm)",9,17,10,10,10,12,14,6,37,0,0,gliclazide,niddm
3327,"(tolbutamide,niddm)",10,18,11,11,11,13,15,24,6,0,0,tolbutamide,niddm
1027,"(dipyridamole,pde5)",4,19,6,6,6,14,16,8,11,0,1,dipyridamole,pde5
1487,"(geldanamycin,hsp90)",4,20,6,6,6,15,17,8,528,0,1,geldanamycin,hsp90
2110,"(melatonin,bcl-2)",11,21,12,12,12,16,18,18,41,0,0,melatonin,bcl-2
430,"(carbamates,faah)",4,22,6,6,6,17,19,8,10,0,0,carbamates,faah
2604,"(pge2,pgd2)",2,23,2,2,2,2,3,7,242,0,0,pge2,pgd2
2077,"(losartan,urat1)",4,24,6,6,6,17,20,8,8,0,0,losartan,urat1
51,"(aldosterone,bmp-6)",8,25,9,9,9,18,21,17,18,0,0,aldosterone,bmp-6
1609,"(gm-csf,il-13)",2,26,2,2,2,3,22,7,26,0,0,gm-csf,il-13
2770,"(prostacyclin,cox-1)",12,27,13,13,13,19,23,1,36,0,0,prostacyclin,cox-1
198,"(astemizole,cyp2j2)",13,28,14,14,14,20,24,11,10,1,0,astemizole,cyp2j2
2771,"(prostacyclin,cox-2)",14,29,15,15,15,21,25,23,106,0,0,prostacyclin,cox-2
1610,"(gm-csf,il-15)",2,30,2,2,2,3,4,7,17,0,0,gm-csf,il-15
108,"(amiloride,kallikrein)",15,31,16,16,16,22,26,10,34,0,0,amiloride,kallikrein
1025,"(diphenhydramine,cyp2d6)",15,32,16,16,17,23,27,10,19,0,0,diphenhydramine,cyp2d6
1607,"(gm-csf,il-10)",2,33,2,2,2,2,3,7,128,0,0,gm-csf,il-10
3414,"(valsartan,adiponectin)",11,34,17,17,18,24,28,18,5,0,0,valsartan,adiponectin
1427,"(forskolin,sf-1)",11,35,12,12,12,25,29,18,13,0,0,forskolin,sf-1
